Score,ID,Text
2,314,Solheim Cup for breakfast  rugby World Cup for dessert. #televisedsports
1,531,World Cup fever @etonmanor #thedukeontour @ Rugby World Cup South Africa vs Japan https://t.co/RMTXsx7iw7
0,244,The wall of the World Cup in VIP at twickenham! Bring on the final! #rugby #world #cup #ballsäó_ https://t.co/7p59jA3xGF
2,0,Rugby World Cup London! #London #rugby #rugbyworldcup2015 #rugby #rwc2015 #England #englandvfijiäó_ https://t.co/rJDMTQj7kb
2,46,I'm at Rugby World Cup 2015 https://t.co/4Sn0iZfoj0
2,4,I'm at Rugby World Cup 2015 https://t.co/OYZEofdXYz
0,556,Rugby World Cup 2015. #RWC #RWC2015 @ Twickenham Rugby Staduim https://t.co/HC7YAlSu4A
1,361,Here again. 1st day of Rugby World Cup. @ Twickenham Rugby Staduim https://t.co/eVZrPIV8uE
0,453,World rugby cup 2015 #myteam #twickenham @ Twickenham Rugby Staduim https://t.co/3BrtRYAkec
1,800,Rugby World Cup opening ceremony @ Twickenham Rugby Staduim https://t.co/rbboVSveD4
0,451,With the rugby World Cup (@ Eastleigh Rugby Club in Eastleigh  HAMPSHIRE) https://t.co/LRYE8aE9WY
1,183,Back to DJ for the Rugby World Cup again #worldcup #rugby #twickenhamstadium #australiavsargentinaäó_ https://t.co/hCathQsUOH
0,491,YES! The Rugby World Cup is HERE!! And We are ready!!! #rugbyworldcup2015 #rugby #heineken #sportäó_ https://t.co/cX05GUjloi
0,510,We are ready for the Rugby World Cup!!! #BunchOfGrapes #London #LondonBridge  #bestpubinLondon #rugbyäó_ https://t.co/LrLEhr9CRn
1,90,First batch of Rugby World Cup tickets have arrived! #rwc #rugby @äó_ https://t.co/wyesCN5O52
2,799,Awesome photobomb at the Rugby World Cup. #rugbyworldcup2015 #southafricansabroad #RWC2015 #rugby2015äó_ https://t.co/Atht3biJdF
2,268,Rugby World Cup 2015! @dankell10 drtalbot #rugbyworldcup #rugby #rugbyworldcup2015 #olympicstadiumäó_ https://t.co/arAufLeOis
-2,537,Getting in the rugby spirit with @adsluton and the boys!! (@ Rugby World Cup Fanzone) https://t.co/1b8hqYFiIG
-1,113,Rugby World Cup 2015! Winner New Zealand / Copa Mundial de Rugby 2015!äó_ https://t.co/te7QOkwy0r
2,775,England vs Fiji - the 2015 Rugby World Cup kicks off! @ Twickenham Rugby Ground https://t.co/XQZwYEoDbh
2,401,Rugby World Cup 2015 THE FINAL All Blacks vs Wallabies @ Twickenham Rugby Staduim https://t.co/tMYAceRk5J
-2,160,New Zealand vs Australia rugby World Cup final 2015 @ Twickenham Rugbyäó_ https://t.co/Lz2CPx5F9z
2,151,We are ready for the Rugby World Cup!!! #BunchOfGrapes #London #LondonBridge  #bestpubinLondon #rugbyäó_ https://t.co/LrLEhqS1sN
2,12,Here we all are now  all the lads #ladsladslads #rugby #worldcup #ladsontour @ Rugby World Cupäó_ https://t.co/tYRoKMZbcQ
2,191,Watching the rugby from the sidelines ... Don't mind if I do _ô_€_ôè__ôˆ__ôˆ‡v_ôˆË_ôˆ_ @ Rugby World Cup 2015 Bronzeäó_ https://t.co/uO8t59cz5Y
2,98,I'm at Rugby World Cup Fanzone https://t.co/egvzsRmNwT
2,919,I'm at Rugby World Cup Fanzone https://t.co/e2iFwcI2JE
-1,356,Is the Rugby World Cup over yet?
2,367,I'm at Rugby World Cup Fanzone https://t.co/OwTUpGpVCJ
0,53,RUGBY WORLD CUP  http://t.co/zRJxzAsp3o
-2,998,I'm at Rugby World Cup Fanzone https://t.co/G85BXYI39f
-1,56,I'm at Rugby World Cup 2015 https://t.co/MdBWBwNv8A http://t.co/vnFbPKhjwn
1,427,RUGBY WORLD CUP 2015: Newhamäó»sŒæFanzone https://t.co/9Amf6bWKqG
-1,996,From Chanel to Rugby world cup. https://t.co/eSOc5QvSzX
-1,591,Rugby world World Cup semi final 2 Australia v Argentina #RWC #Twickenham #Twickers #Rugby @äó_ https://t.co/ftojcxmCec
2,368,Such an unbelievable 2 days at the Rugby World Cup. @englandrugby worldrugby #RWC #RWC15 #Rugbyäó_ https://t.co/wMdVbahwpp
2,434,Off to the Rugby World Cup #ireland #rwc2015 #rugby #classy @ London Paddington Station https://t.co/esRmAsGlgB
1,791,Australia 35 Scotland 34 Quarter Final  Rugby World Cup 2015 @ Twickenham Rugby Staduim https://t.co/NTkVTcxh0A
1,223,AT THE RUGBY #rwc2015 #rsa #usa @ Rugby World Cup Olympic Stadium Newäó_ https://t.co/CCrGC3kYgm
-1,229,Scotland vs Australia - Rugby World Cup 2015 Quarter Final #rwc2015 #rugby #rugbyworldcupäó_ https://t.co/5HRGd8zsrv
2,678,#rwc2015 #openingceremony #twickenhamstadium #twickenham #rugby @ Rugby World Cup Opening Ceremony https://t.co/OjwW0cgDYb
1,589,tientjies @sam_margetts rugbyworldcupofficial #rugby #southafrica @ Rugby World Cup Olympic Stadiumäó_ https://t.co/Myf24zOHnr
1,387,Great night #RWC2015 #rugby #carrythemhome @ Rugby World Cup Opening Ceremony https://t.co/YWUkyiuTLo
1,76,Rugby world cup opening game!  #englandrugby #rugby #worldcup #swinglowsweetchariot @ Twickenhamäó_ https://t.co/YLRaLnAyX0
0,776,Highlights New Zealand the New Championship of The World Cup of Rugby! @ Twickenham Rugby HQ https://t.co/2rlZyekzeJ
-1,678,Rugby World Cup Champions 2015 _ôè__ô__ #AllBlacks #RWC2015 #London #AllBlackEverything #Rugby #SoProud #NZäó_ https://t.co/ercvvyfV88
2,582,Australia vs Argentina Rugby World Cup Semi-final #rugby #rugbyworldcup #twickenhamäó_ https://t.co/puA6eO1ozL
0,757,If you are a Rugby fan  check out where I'm :) Rugby World Cup start next week  let's Go England  Seäó_ https://t.co/CMiEi5tz17
-1,233,_ô»ë London Eye as Rugby Balls _ô»ë _ôè_ It's Game Day _ôè_ The start of The Rugby World Cup 2015 R Uäó_ https://t.co/QmRSy4E9J0
-2,523,Awesome decoration for the Rugby World Cup!! #heineken #rugbyworldcup2015 #rugby #sport #LondonBridgeäó_ https://t.co/Qe2l8jAEEZ
1,254,Scotland vs Australia - Rugby World Cup 2015 Quarter Final #rwc2015 #rugby #rugbyworldcupäó_ https://t.co/csBFAfIVHj
0,153,tientjies @sam_margetts rugbyworldcupofficial #rugby #southafrica @ Rugby World Cup Olympic Stadiumäó_ https://t.co/YIzAHAZ7Q3
1,242,Scotland vs Australia - Rugby World Cup 2015 Quarter Final #rwc2015 #rugby #rugbyworldcupäó_ https://t.co/rgJaM8zVV4
1,179,Rugby! #RWC #USAvsSA #rugby #anothergame #bokka @ Rugby World Cup Olympic Stadium New Zealand v Namibia https://t.co/ZcHEokCcfz
-1,245,Rugby World Cup Londra 2015 http://t.co/JFNZr7tP1w
0,865,I'm at Rugby World Cup Fanzone https://t.co/2CIH8mVlAA http://t.co/0nHQxksUM1
2,175,Working (@ fanzone rugby world cup) https://t.co/q2riL2aXY2
0,597,Rugby World Cup 2k15 #RWC2015 http://t.co/62WTalEBqW
-1,18,Rugby World Cup Final 2015 @ Twickenham https://t.co/6LRNa4O8t2
2,161,Rugby World Cup _ôè__ôèÊ @ Wembley Stadium https://t.co/tdTS345l9H
-1,1043,2015 Rugby World Cup _ôè_ @ Twickenham Stadium https://t.co/YBJpQC0In9
0,310,Rugby World Cup with SHEL!! http://t.co/DYw4iWN9cG
0,746,I'm at fanzone rugby world cup https://t.co/jVCB5vdtpk http://t.co/gF0imhdL5V
1,346,I can't believe I'm at a Rugby World Cup and I still haven't been to aäó_ https://t.co/5X8TkldxfX
1,779,Rugby world cup (at @boxpark) [pic] äóî https://t.co/wWQXd59qB4
-1,886,Go England! (@ Rugby World Cup Fanzone) https://t.co/fca6durP0p
1,558,Rugby World Cup #rwc @ R/GA https://t.co/ih9mSOP7KK
-1,670,#weartherose Rugby World Cup http://t.co/z8CkfBztGP
2,364,Rugby World Cup doesn't start until Sunday _ôÖ_
2,445,The time has come Rugby World Cup!
1,523,Rugby World Cup _ôè__ôè_ @ Twickenham Stadium https://t.co/Ta2eDKlJTb
-1,176,So much sport to watch. Don't know where to look. Formula 1  Davis cup  rugby World Cup and football.äó_ https://t.co/OUnUFH5NA3
-1,500,Rugby world cuping #rwc #rwc2015 #london @ Rugby World Cup Olympic Stadium New Zealand v Namibia https://t.co/RmG3DeHZ34
1,412,Here we go! France vs Italy at Rugby World Cup 2015 in London #RWC2015 #london #italy #france #rugbyäó_ https://t.co/DmODRkmS9g
1,916,Had an amazing time at the rugby World Cup yesterday. I've always wanted to go to a live rugby gameäó_ https://t.co/0Js5J3LqJa
1,620,Working today at the Olympic park Rugby world cup #USA vs #SOUTHAFRICA   #RugbyWorldCup #Rugby @äó_ https://t.co/obA9eQJlWq
2,658,43 days and 47 games later... Rugby World Cup Final 2015 LET'S BE HAVIN' YA! @ Twickenham Rugby Staduim https://t.co/5TN5BnKZry
-1,334,The Rugby World Cup final is coming! #rwc2015 #allblacks #rugby #wallabies #Aussies #australiaäó_ https://t.co/H27A9ja0nF
1,72,Awesome seats at the Rugby World Cup quarter finals!! #rwc2015 #rugby #Twickenham #RSAvWAL @äó_ https://t.co/RQ2wwgcnPe
2,400,Crowd at Wembley Park after Rugby World Cup match #rugby #worldcup #rugbyunion #rugbyworldcup2015äó_ https://t.co/bsTMZQL0Ty
1,76,89 267 #rugby fans watching #irelandromania #IREvROM #london @ Wembley Stadium Rugby World Cup https://t.co/1FhzEKxgcJ
0,388,What a great day for a Rugby World Cup Final. #rwc2015 #twickenham #allblacks @ Twickenham Rugbyäó_ https://t.co/D24H88QOyG
2,411,Rugby world cup winner @willgreenwood @Englandrugby Tall as hell. #england #rugbyworldcup #rugbyäó_ https://t.co/8RZeicjtdx
0,395,Great day at the Rugby World Cup 2015 watching Australia vs Scotland #rwc2015 #rugby #australiaäó_ https://t.co/jZJXwsHXfL
2,906,Waiting to watch the Rugby on the big screens! #Richmond #London @ Rugby world cup 2015 Fanzone äó_ https://t.co/ehmW7CJbtj
1,507,South Africa vs USA rugby World Cup!! #rugbyworldcup #southafrica #usa #rugby @ Olympicäó_ https://t.co/5djGkkZnTS
2,229,All Blacks vs Namibia  Rugby World Cup 2015  #rugby #rugbyXV #rugbyday #rugbygram #rwc2015 #londonäó_ https://t.co/v8i5VxzDZR
0,712,Rugby world cup! What a night! #twickenham #RWC2015 #RWC #england @ Twickenham Rugby Staduim https://t.co/HtqAs7m5Fa
2,94,Rugby world cup! We understand zero things about rugby but who cares. TOUCHDOWN! photo cred:äó_ https://t.co/QJsVF7pbzS
0,221,At the rugby #springboks vs #japan  #rwc2015 #england #brightonandhove @ Rugby World Cup South Africaäó_ https://t.co/pz1tbOn0Ha
2,680,Rugby World Cup photo brief at Twickenham #freelance #freelancelife #brandonfoto #twickenham #rugbyäó_ https://t.co/vwOX2zTjQQ
2,249,Rugby World Cup not far away now _ôèÊ #excited #comeonengland #rugby #rugbyworldcup #rugbywcäó_ https://t.co/CG2sdz1At6
-1,103,Twickenham Stadium - Rugby World Cup 2015. Les frissons montent !! @ Twickenham Rugby Staduim https://t.co/HcbnbWR9kw
2,272,Shortbread shenanigans! Getting ready for the rugby World Cup  #pastrychef #cookies #rugby @ Southäó_ https://t.co/Mb7Sw4KTBD
0,269,Rugby World Cup 2015. South Africa v Argentina. Bring it on..... #Rugby #Worldcup #england @ Olympicäó_ https://t.co/E6f0wsqBBx
2,300,World Cup rugby 2015 England. Such a great time with this little cutie. #rwc2015 #rugby #london @äó_ https://t.co/gMckCLRafY
-1,872,Franí_a vs Romania  Rugby World Cup 2015  #rugby #rugbyXV #rugbyday #rwc2015 #rugbygram #eurotripäó_ https://t.co/ePen0gQdBG
2,589,Ireland v Rumania  Rugby World Cup  Wembley #rugby #rugbyworldcup2015 #photography #sport @ Wemberlyäó_ https://t.co/WDaa3B6P6M
2,526,ä_È¥Ÿè RWC ä_È¥Ÿè @ Rugby World Cup Fanzone Richmond https://t.co/CeqULyKFEi
2,322,Rugby World Cup on show at Burghley http://t.co/L9Rf6EivuY
0,878,Go #eng ! #RWC2015 (@ Rugby World Cup Fanzone) https://t.co/RG2pcJdvCs
-2,1014,Born to be champion. Congrats @ 2015 Rugby World Cup https://t.co/ASGQg5pq5B
0,741,#RWC15 @ Rugby World Cup Opening Ceremony https://t.co/DHqqLRnu2B
1,849,I've developed a serious hate for the rugby World Cup _ôÖç
2,574,World Cup final come at us!!! @ Twickenham Rugby HQ https://t.co/m4A1QJg0Wh
2,14,England Crash Out Of Rugby World Cup http://t.co/6kAtVGclyi
0,87,Rugby World Cup 2015. #backstage @ Trafalgar Square https://t.co/BG4bP4qnBW
2,555,Getting ready for Rugby World Cup 2015 ! http://t.co/9lpo2Ls3Yz
-1,49,Biggest attendance in Rugby World Cup history 89 267!äó_ https://t.co/kBsykF6pCI
0,856,Rugby world cup 7 rows from the pitch http://t.co/Fy7nrG8QLe
2,117,Rugby World Cup games @koshobar @ kosho https://t.co/AN6QXtuAMQ
-1,601,Come on Scotland!!! (@ Rugby World Cup Fanzone) https://t.co/CuTxY9XAdq
2,437,The Rugby World Cup Final #rwc @ Twickenham https://t.co/5TczLAp2zx
2,793,_ôï_ Rugby World Cup with vjhelvert _ôè_ @ Twickenham Stadium https://t.co/P3OTc9VT5S
2,760,#ireland Rugby World Cup 2015 @ Wembley Stadium https://t.co/h9sXbJH8VP
2,1067,This is the rugby World Cup final @ Twickenham @ Twickenham https://t.co/xGFC5UkTJp
2,444,RUGBY WORLD CUP #COMEONIRELAND @ Wembley Stadium https://t.co/E7l5dh6ADX
1,550,The Rugby World Cup arrives in the borough http://t.co/KutL2ZsQc3
-1,162,#gameday @ Wembley Stadium Rugby World Cup https://t.co/vRHlq158ra
-2,628,#ire rugby  world cup. @ Wembley Stadium https://t.co/sWsvxyCy8h
1,848,Rugby World Cup _ôè_ #rwc2015 @ Twickenham Stadium https://t.co/4pKmXktAiv
-1,606,*gets into intercom* Is the Rugby World Cup over yet?
-1,218,Rugby World Cup 2015 starts today. #carrythemhome
2,1015,Final babay!!!! (@ Rugby World Cup Fanzone) https://t.co/oobcKEv8qn
-1,714,Rugby World Cup _ôè_ @ Olympic Stadium Stratford https://t.co/htOpNWyWsz
0,6,Rugby World Cup! _ôèÊ_ô___ôˆ__ôˆ_ @ Cardiff  Wales https://t.co/LDs3cwfTIh
0,15,Rugby World Cup #twickenham @ Twickenham Riverside https://t.co/a3zY7p1rf0
2,1067,Amazing atmosphere (@ Rugby World Cup Fanzone) https://t.co/JU2Xn5Pcfv
0,660,It's Rugby World Cup time! @ Twickenham Stadium https://t.co/xfwoAc10hq
-1,824,@tcubelli89 #vamospumas (@ Rugby World Cup Fanzone) https://t.co/9xrGpMxBxl https://t.co/LxEdOg5Lvd
2,290,Wembley  Rugby World Cup @ Wembley Stadium https://t.co/6sO9Anf9QI
2,138,Rugby World Cup _ôè_ @ Olympic Stadium Stratford https://t.co/b2NA05zEOO
0,265,Rugby World Cup 2015! _ôè_#RWC2015 @ Twickenham Stadium https://t.co/15Ju1RPTxu
1,423,Rugby World Cup fanzone! @ Richmond Park https://t.co/3biYPYTRLv
0,698,Rugby World Cup 2015!                       New Zealand v. Argentina!!äó_ https://t.co/X4fDJzKhXX
2,839,Here we go... Rugby World Cup 2015. Come on England !!! #rwc15äó_ https://t.co/rSW6SxJfmP
0,520,RUGBY WORLD CUP 2015 Bronze Final #SouthAfrica VSäó_ https://t.co/w43eH9VoBY
1,310,Found Argentinians here for the Rugby World Cup! _ôˆ__ôˆ‡ #Londonäó_ https://t.co/BTbPp1AdCr
-1,559,#44daysofcrazy @ Rugby World Cup Fanzone Richmond https://t.co/ys8T4LYH8W
-1,395,Louis Vuitton Rugby World Cup Event - Les handpainting the trunk made for the cup  John Ealesäó_ https://t.co/RdHcNtoTbp
2,436,Hope you are watching the Rugby World Cup on our big screen in The Northall Bar! #RWC #RWC2015 #rugbyäó_ https://t.co/pnBsBQGVvV
0,655,This is me set for the day... God I love Rugby World Cup!! #rugby #rwc #itavcan #dayoff #happykimbersäó_ https://t.co/uf86RbFUJX
1,387,Richmond Rugby World Cup Fanzone #fanzone #rugby #rugbyworldcup #richmond @ Old Deer Park https://t.co/7eKQIPmvwa
2,7,World cup Rugby and nachos = like #delicous #yum #food #mexican #rugby #klaudiaskitchen @ London äó_ https://t.co/xyhhy0wxRb
2,387,Rugby World Cup France v Italy #worldcup #rwc2015 #FRAvITA @ Twickenham Rugby Union Stadium https://t.co/N6wWZrEMsy
1,77,Great fun at the rugby World Cup opening party somersethouselondon #ItsYourCall #london #party #rugbyäó_ https://t.co/vMMBPw4Sev
2,421,LIVE Fox Sport - Rugby World Cup _ôè_ with Los Pumas @leosenatore @eliterugbyagent jimbo_ldn _ôˆå_ôˆ_ #rugbyäó_ https://t.co/8jUD1pCguM
2,799,Wembley Park after Rugby World Cup match today #rugby #worldcup #rugbyunion #rugbyworldcup2015 #rwc15äó_ https://t.co/WTXasG97Cc
1,371,Rugby World Cup not far away now _ôèÊ #rugby #worldcup #class #englandvsfiji #3lions #englandäó_ https://t.co/bJRuwShX6N
-1,600,Alla fine si torna al shopping del RUGBY ahaha @ Offical Rugby World Cup Store https://t.co/2z8yfl0C9g
0,379,Heathrow Express: Official partners of USA Rugby #RWC2015 Rugby World Cup 2015 @ Heathrow Express https://t.co/T86QSb4TMy
0,879,What a beautiful day for a bit of Rugby!! #rwc2015 #USA #SAMOA @ Rugby world cup Samoa v USA https://t.co/RqMwq9FH4J
2,107,#New Zealand All Black's Are The Rugby World Cup 2015 World Champions From Tucker# https://t.co/16YmwktQM9
0,481,Ready for Rugby World Cup!!!!!! Fantastic rugby prizes to be won!! Buy a 4-pint jug of London Pride äó_ https://t.co/xlVOlVTTDs
0,482,Ready for Rugby World Cup!!!!!! Fantastic rugby prizes to be won!! Buy a 4-pint jug of London Pride äó_ https://t.co/YIGe7XBtOi
1,209,Rugby World Cup Final Halloween PARTY @TheAlma_N1 59 Newington Green Road N1 4QU THEME : Zombie Rugbyäó_ https://t.co/VuZiDqj4C4
2,151,Match 1  I lost count beer #rwc2015 #openingceremony #england #fiji #rugby @ Rugby World Cup Openingäó_ https://t.co/nu91m5sfqy
-1,712,CHAMPIONS: New Zealand defend Rugby World Cup to win record 3rd title. @allblacks @ Twickenham Rugbyäó_ https://t.co/tmRVUbGHeJ
-1,144,Man sized portions on our Northall Bar Rugby World Cup menu! #Rugby #RugbyWorldCup #RWC #RWC2015äó_ https://t.co/6taF56iABi
2,308,Rugby World Cup with dad tonight #rwc2015 #weartherose #rugby @ Queen Elizabeth Olympic Park Stratford https://t.co/6bjvEzP95y
2,168,Rugby World Cup Final Halloween PARTY @TheAlma_N1 59 Newington Green Road N1 4QU THEME : Zombie Rugbyäó_ https://t.co/gCdjpKH8s0
2,78,World Cup Opening Ceremony _ôˆå_ôˆ_ @ Twickenham Rugby Staduim https://t.co/8Ccon8gSkl
2,618,#RWC2015 @ Rugby World Cup South Africa vs Japan https://t.co/vqLLSsiocc
-1,517,Soaking up the atmosphere with the boys! (@ Rugby World Cup Fanzone) https://t.co/7WTZifrnnQ
-1,272,Rugby World Cup. #backstage #rwc2015 @ Trafalgar Square https://t.co/OvCA3ynK7t
2,770,COYAB #rwc2015 #NZLARG (@ Rugby World Cup Fanzone) https://t.co/Bh7kgBMP89
2,61,Rugby World Cup #semifinal #cmontheargies @ Twickenham Stadium https://t.co/th8LtnIxlp
0,463,#ComeOnJapan @ Rugby World Cup South Africa vs Japan https://t.co/5yb2uMZtDr
2,378,Well were out of the rugby World Cup roll on the euros in France
-1,589,Churchill Arms is ready for the Rugby World Cup 2015  #thisislondonäó_ https://t.co/OQw38ryp35
2,76,Enjoying the rugby World Cup! _ôçé #londontown @ The Smugglers Tavern https://t.co/GIBvXM1bJB
-2,892,Rugby World Cup. #backstage #rwc2015 @ Trafalgar Square https://t.co/AsKI5u5CUo
-1,314,My seats for the World Cup final! Unbelievable!!! @ Twickenham Rugbyäó_ https://t.co/p5VPG1Ub00
0,47,Doing the staff Rugby World Cup draw #makineagoodone http://t.co/hdPPjwtfmc
2,146,Temple of rugby#bmw @ Rugby World Cup Opening Ceremony https://t.co/zPFOvptKwv
0,138,...he's behind you!! x Rugby World Cup 2015 @ Trafalgar Square https://t.co/1oCUUTaGUd
-1,318,Unbewievable @ Rugby World Cup South Africa vs Japan https://t.co/OgR8Vb3Fqk
-1,22,Rugby World Cup _ôˆå_ôˆ__ôè_#twickenhamstadium #goodtimes @ Twickenham Stadium https://t.co/Gd6bHvgu2z
2,123,Rugby World Cup #England @ Richmond Green  London https://t.co/6VIbeYURYh
0,556,In a random pub for the rugby world cup final! Go Aus! https://t.co/JRHLLlhC5d
2,246,StockMarketWire JD Wetherspoon sees rugby world cup boost https://t.co/Yv6o5Jexxm https://t.co/GJtVCdlZFY
1,391,Rugby World Cup. #backstage #rwc2015 @ Trafalgar Square https://t.co/ln1q0Lc4wk
-1,766,#RWCFINAL #RWC2015 _ôè_ @ Rugby World Cup Fanzone Richmond https://t.co/3kU4JMmfxx
2,103,#Richmond you beauty @ Rugby World Cup Fanzone Richmond https://t.co/dXWgkbi9nI
2,33,Twickenham Stadium for the Rugby World Cup 2015 available fromäó_ https://t.co/E2rQDqSFPq
1,840,Congrats to the #allblacks @ Rugby World Cup Fanzone Richmond https://t.co/53SPtjd66g
0,965,#rwc2015 #vamoslospumas @ Twickenham Rugby Stadium  World Cup SF1 - SA vs NZ https://t.co/BVlJNVIquV
0,214,The sun is shining and here we are for our second Rugby World Cup match.äó_ https://t.co/DFhqmRJsKb
-2,486,Rugby World Cup London 2015_ôè_#london#rugbyworldcup#slovak#Czech#halloween2015 @ Trafalgar Square https://t.co/htFxN54vSt
-1,938,#bringingrugbyhome with this one _ôïè_ôèé_ôˆå_ôˆ__ôè_ @charlotteroseel @ Rugby World Cupäó_ https://t.co/kMf8sxfTYr
1,477,The only rugby I'll be kicking this world cup. Nice to see you Charlotteäó_ https://t.co/01ZsNwCtIF
2,352,Flash back RUGBY World Cup @ Twickenham Stadium https://t.co/RIX2Db3f8F
2,171,Ireland vs Romania Rugby World Cup @ Wembley Stadium https://t.co/qCxJEksPp3
0,158,Hello hHarry_ôÖÖ @ Rugby World Cup Opening Ceremony https://t.co/LwpedzRCw0
2,119,Rugby World Cup - England v Fiji @ Twickenham Stadium https://t.co/pHyQjUZWCe
0,83,Bouncing @ Rugby World Cup South Africa vs Japan https://t.co/UvHXhoFwZX
0,507,World rugby cup #twickenham #2015 @ London  United Kingdom https://t.co/uqXyAnIPWq
-1,746,It's time. #rugbyworldcup #springboks #greenandgold @ Rugby World Cupäó_ https://t.co/FAyo6lOIas
2,573,Hello hHarry_ôÖÖ @ Rugby World Cup Opening Ceremony https://t.co/sG4AlAe8qC
1,678,Me and David at the _ôˆ¬_ôˆ_vs_ôˆ‚_ôˆ‡ game for the World Cup rugby _ôè__ôèÊ @ Twickenhamäó_ https://t.co/zM0bxU0Omk
-1,388,Rugby World Cup - France 32-10 Italy @ Twickenham Stadium https://t.co/8m0kq7SnKX
1,272,äóì@neiljohnson1974: Rugby World Cup Demo????  RT if you agree.äóùmaximum impact
2,716,You fucking beauties!!!!! Go AB's!!!! _ôÖó @ Rugby World Cup Fanzone https://t.co/GfcoGVphKX
0,124,Rugby World Cup time @ Amex Stadium Brighton https://t.co/yMFCuVCRar
-1,585,#44daysofcrazy #carrythemhome @ Rugby World Cup Opening Ceremony https://t.co/AFrSAGQpQ7
0,96,Cannot wait for the Rugby World Cup! Its going to be a crazy few weeks _ôè__ôçó
2,615,#RWC2015 ..._ôè__ôˆå_ôˆ_ @ Offical Rugby World Cup Store https://t.co/RVgX7oa4bH
2,530,Enhorabuena #ARG   en las semifinales de la Rugby World Cup!
2,469,Selfieland @ Twickenham Stadium Rugby World Cup Final https://t.co/WWzmL7haz0
-1,636,Haka @ Twickenham Stadium Rugby World Cup Final https://t.co/CHOxiEbrjL
-1,271,Rugby World Cup final _ôè__ôˆå_ôˆ_#rugbyworldcup2015 #london #guatemalansquadäó_ https://t.co/pFbQqYdblX
2,454,Twickenham. Rugby World Cup 2015. #rwc2015 @ Twickenham Stadium https://t.co/PS8Ji00BXS
2,63,@MPH777 @btaubz Rugby World Cup / excuse to PARTy
2,375,england menang semalam hehe _ôÖÅ @ 2015 Rugby World Cup https://t.co/9OtfCPrLFA
0,687,It's your round! Beers from around the world served in The Northall Bar during the Rugby World Cup!äó_ https://t.co/4VimBt66FD
0,712,Another world record attendance for #Wembley in the Rugby World Cup. There are 89 267 inside Wembleyäó_ https://t.co/f8z6TL6hhn
2,308,Rugby World Cup locker room exciting or not... #rugbyworldcupäó_ https://t.co/bAKgDXDurL
