Score,Rank,Text
1,42,Awesome fireworks and all for free _Ÿ˜_ #fireworks #bonfirenight #blackheathfireworks2015 #blackheathâ€_ https://t.co/OXQ8Xs48cl
1,42,Teddington Fireworks âœ¨ @ Anglers  Teddington https://t.co/j5IOTO4ms2
-2,44,Fireworks education!
0,47,Bit of fireworks fun at work. #bonfire #bonfirenight #fireworks #firework @ London  United Kingdom https://t.co/LAfQ0bLe5b
2,47,Last nights walk from the station #fireworks @ Croxley Green https://t.co/I8mB6lnLhU
2,48,Incredible evening at the #SAS #fireworks @ SAS UK https://t.co/9vOh7nmBbk
1,49,#Bonfire #Fireworks #Winter @ Waltham Abbey  United Kingdom https://t.co/GU9LNeApZt
2,50,#happyfourth #london #fireworks @ Big Ben https://t.co/DEKQ66p41L
0,50,âœ¨âœ¨âœ¨ @ Kempton Park Racecourse Fireworks Night https://t.co/91jljN5NTY
2,50,Victoria Park fireworks. @ Victoria Park https://t.co/EvsbUO7Qpt
1,51,Cassiobury Park Fireworks from the studio!  @vibe1076 https://t.co/kv4TgGqdJs
1,51,Truffling with my favourite person _Ÿê–_Ÿê»_Ÿê_ @ Cassiobury Park Fireworks https://t.co/ToWeAfiGgR
1,51,Waiting for fireworks _Ÿ˜€_Ÿ_†
-1,53,Fireworks #fireworks #wtf #bang #diehard #brucewillis #action #londonfields #swegwayâ€_ https://t.co/pProdvDQtS
-1,54,More fireworks... but that's it!  #outdoors #fun #fireworks #iphoneonly #family #nightout #actionâ€_ https://t.co/zX62qQuVsk
2,55,Fireworks night âœ¨ @ Abridge Fair https://t.co/29c77rTNVu
0,55,Some so-mo fireworks action... #fireworks #stevenspielberg #ealing @ Ealing Cricket Club https://t.co/heHXM7PDPD
-1,56,@TeamTaraMay86 me and u babe fireworks wow xxxxx
-1,57,#Fireworks #London #vscocam @ Blackheath Common https://t.co/DFci0VxCfA
0,58,Fireworks!!! (@ Blackheath Common in Blackheath  Greater London) https://t.co/Y48kHMqkoG
1,60,Best fireworks I have ever seen _Ÿ˜ç_Ÿ’¥ @ Alexandra Palace https://t.co/yRkzVxyFpq
1,62,#fireworks #tooting @ Tooting https://t.co/StN6ii9l8g
0,62,Clearly the best at capturing the fireworks _Ÿ™„_Ÿ™„ pluckedandstuff tcmunsâ€_ https://t.co/2yzjW0hPby
1,65,No but really why did boys used to chase girls with fireworks
2,65,Some wizard in the making! _Ÿ˜‚ #priorypark #fireworks #christmas2015 @ Priory Park https://t.co/rpR0H9HxIp
0,65,think these heart shaped fireworks sum up my feelings of the past weekend nicely #fireworks #bestivalâ€_ https://t.co/iyqq2VfdOg
1,66,#Fireworks from le balcon hawkleberryfinn! @ 8 Hardwicks Square https://t.co/eWwZowgFbr
1,67,#fireworks #guyfawkes #beautiful #firework #fireworkdisplay @ Epsom Fireworks https://t.co/cMZQKzcETy
1,67,Fireworks in LA tonight @ Littlehampton Sea Front https://t.co/UFpbah4rFa
1,68,My fave âœ¨_Ÿ’¥_Ÿ_† @ Blackheath Fireworks https://t.co/HB8QyeATFn
1,69,#fireworks in Southgate #northlondon @ Walker Cricket Ground https://t.co/pO90wreWLS
-1,70,#fireworks #blickling #nationaltrust @ Blickling Estate NT https://t.co/nRwtKW5qes
1,72,#Fireworks #slowmo @ Ridgeway Primary School https://t.co/Xk2O4LR4pO
1,72,What a lovely evening watching fireworks with the family _Ÿ’™ Masen was not too sure tho...  #fireworksâ€_ https://t.co/hhuP4UXjkH
0,73,Kaboom. Obligatory #fireworks shot. _Ÿ_† #latergram @ Battersea Park Fireworks https://t.co/XV2wUZLkS0
0,74,Fireworks are pretty _Ÿ_‡_Ÿ_‡ @ Battersea Park https://t.co/jh2ykLAl43
-1,76,Fireworks _Ÿ’¥_Ÿ’¥ #harrowlodge #fireworks #funfair @ Harrow Lodge Park https://t.co/rKsLHaTzZR
-1,77,Fireworks set to musicals _Ÿ˜ç (@ Richmond Athletic Ground) https://t.co/akp5NOxRI5
2,78,#BatterseaParkFireworks _Ÿ”¥_Ÿ’¥ @ Battersea Park Fireworks https://t.co/LSbIWhmOWq
-2,79,The pets are locked in #fireworks They are scared.
1,80,Fireworks _Ÿ’¥_Ÿ’¥ #harrowlodge #fireworks #funfair @ Harrow Lodge Park https://t.co/49Lqnd8vOk
1,80,Friday Fireworks @ Coram's Fields https://t.co/yYbgwlPqFC
-1,81,Like a universe _Ÿ_† #fireworks #theparkclub @ The Park Club https://t.co/iuTtMnDKxa
2,82,#allypally #fireworks were pretty awesome _Ÿ’¥ #lovelondon @ Fireworks Festival Alexandra Palace https://t.co/oqsnvonk56
1,82,Rocking the boots heading to #batterseapark for the #fireworks #guyfawkesnight #fromwhereistand @ Stâ€_ https://t.co/xggdoAiHgA
2,83,Usual post fireworks pint (at @TheHampshireHog in Hammersmith  London) https://t.co/CN1ENre42N
1,86,Fireworks display at college _Ÿ_‰ https://t.co/PhGIG7OYFA
1,86,Fireworks _Ÿ’¥_Ÿ’¥ #harrowlodge #fireworks #funfair @ Harrow Lodge Park https://t.co/fR9H7oc6XS
0,91,#fireworks #leedscastle @ Leeds Castle https://t.co/pWMwAPox3x
-1,91,Fireworks at Alexandra Palace with the bestie _Ÿ_† #allypally #fireworksâ€_ https://t.co/ZXAvTUtDfD
1,92,Lovely fireworks and yummy mulled wine with winship29 #hadleywoodâ€_ https://t.co/nGhcDaBHkM
0,92,Remember  remember the 5th of November _Ÿ’¥ #guyfawkes #fireworks @ Blackheath Common https://t.co/buBDz6HcZr
1,94,#fireworks over #bishopspark @ Bishops Park https://t.co/CvRf1MJApH
1,94,Love fireworks _Ÿ˜ç #stalbans #stalbansfireworks #verulamiumpark #fireworks #oursong #skyfullofstarsâ€_ https://t.co/yy92Gb9dAg
1,95,Quick entertainment for tonight :) #batterseafireworks @ Battersea Park Fireworks https://t.co/4q1DQdaqV1
0,95,Saw some fireworks _Ÿ’¥_Ÿ’¥  #batterseafireworks #battersea #london #city #uk #fireworks #bonfire #fireâ€_ https://t.co/EpM2VCVJi1
1,96,Fireworks _Ÿ˜ç_Ÿ_†_Ÿ_‡ #fireworks #Greenwich #tallships #tallships2015 @ Greenwich https://t.co/Ue7TjdNuUO
2,99,Fireworks in front of the flat @ Altab Ali Park https://t.co/flXgpHnTYP
2,100,Fireworks night got me bad _Ÿ’¥ @ Fireworks Festival Alexandra Palace https://t.co/i5UPMnI28R
2,100,My insta feed is just full of fireworks
0,101,Laser cutter fireworks #laser #lasercut #prototype #designdotgolds #design #maid15 #fireworks @â€_ https://t.co/zMS0rm4c2M
2,102,Fireworks Night  a.k.a Guy Fawkes Night â€¢ 7 Novemberâ€_ https://t.co/YHiZ5kx4o4
2,102,FIREWORKS! @ The Notleys Golf Club https://t.co/sWuUPK5CC3
-1,103,Southend on Sea Fireworks âù_ï¸è @ Southend Pier https://t.co/T9blKxzWrW
-1,104,Bokeh explosions _Ÿ_†_Ÿ__ #fireworks Â #guyfawkes @ Battersea Park https://t.co/7vEU8Zikrg
1,105,#fireworks @ Coram's Fields https://t.co/WS6MI9WObe
2,106,#bangerz _Ÿ’¥ @ Battersea Park Fireworks https://t.co/QkphR5ZR88
-2,106,Fireworks by Drake is #nowplaying in Anytime Fitness Demo.
-1,106,Fireworks display _Ÿ_† #fireworks #chipstead #colourful #bright #freedisplay #november #dslrâ€_ https://t.co/u3KyY0kLqf
2,106,Guyfox fireworks @ Fireworks Morden Park https://t.co/9gAS8ZvB1S
0,107,Ally Pally _Ÿ_† @ Fireworks Festival Alexandra Palace https://t.co/tX4gh9GlP3
1,113,#fireworks in the #garden with #friends ... #flamey @ Bromley UK https://t.co/Fr1pwVrHcK
2,113,Bonfire Night fireworks 2015 _Ÿ_‡ ===== > return to Victoria Park _Ÿ_†â€_ https://t.co/C5mIht5wn5
-1,113,Ready and waiting for the fireworks! #winchbonfire @ Winchester Fireworks https://t.co/bXhhxqSdCI
-1,114,Fireworks #fireworks #wtf #bang #diehard #brucewillis #action #londonfields #swegwayâ€_ https://t.co/pProdvDQtS
1,114,Ripley's fireworks were superb. #bonfirenight _Ÿ”¥ @ Ripley Green https://t.co/hSsMgliO9m
2,115,#Blackheath #fireworks #blackheathfireworks #blackheathvillage #London #londonfireworksâ€_ https://t.co/9Pwuimv86W
2,115,Enjoyed our first family fireworks display tonight! #fireworks #guyfawkesâ€_ https://t.co/EmgSkxxXjm
1,116,#bonfirenight @ Winchester Fireworks https://t.co/tBfmgsfeVQ
1,117,Friday Fireworks screaming and children _Ÿ˜‰ @ Coram's Fields https://t.co/tLHKXqUhIO
1,118,Fireworks to light up prom http://t.co/v53HXLDZJg #Maldon #Essex http://t.co/kBk44W38DQ
-1,119,Fireworks!! @ Battersea Park Fireworks https://t.co/HvX22wvYZ1
-1,119,Fireworks!!!!! Bonfire night 2015. F the work lol #oxford #southpark #cool #night #fireworks @ Southâ€_ https://t.co/Os0OrOILq5
1,120,No matter how many years in a row I go here  I will always love their fireworks _Ÿ_† @ Fireworksâ€_ https://t.co/Rn6deeHo59
1,120,Watching these insane fireworks whilst looking over the whole of London. _Ÿ’–_Ÿ_‡_Ÿç‚ @ Fireworks Festivalâ€_ https://t.co/t5D0mlSPlz
-2,123,#shootingstars @ Fireworks Ealing Cricket Club https://t.co/LBUe3jf46J
2,124,#allypally #fireworks _Ÿ’¥_Ÿ’«âœ¨ @ Fireworks Festival Alexandra Palace https://t.co/J8tE1tFkww
0,124,Great spot to watch fireworks #putney #london #fireworks #lifestyle @ Leaders Gardens Putney https://t.co/uUvOxhnE9u
2,124,The Fireworks were magical last night! #fireworks #bonfirenight #stalbans #starry #robbiewilliamsâ€_ https://t.co/4xPtuihwYx
2,127,Bonfire Night fireworks celebration _Ÿ’¥ #London @ Battersea Park https://t.co/961xh8p8fM
1,128,A firework @ Battersea Park Fireworks https://t.co/Akduim3gbd
1,128,Fireworks are pretty _Ÿ_‡_Ÿ_‡ #batterseaparkfireworks @ Battersea Park https://t.co/TrfGsZ4XW4
2,129,#batterseaparkfireworks - was EPIC!!!! @ Battersea Park Fireworks https://t.co/zc68aHsnPd
1,129,#people at #blackheath trying to get to the #fireworks @ Blackheath  London https://t.co/yUakmD6eL4
1,130,#CelebrationOfLife #BrocadeCrown #fannysfarmshopreigate #Fireworks @ Fanny's Farm Shop https://t.co/c1Vf7LSAZU
1,130,Battersea Park Fireworks! They were probably the most amazing fireworks I've ever seen!â€_ https://t.co/ZVGLwuTShq
1,131,Don't forget your fireworks this year  only a few nights to go! #fireworknight #guyfawkesâ€_ https://t.co/iXtQ3ew10L
0,132,Blackheath Fireworks 2015 with Family followed by the Post-Fireworks drinks with LFR @ Blackheath Common https://t.co/JRHPEollW6
1,133,Woking Fireworks @ Carter's Steam Fair https://t.co/FSm3JiW234
2,134,Second night of fireworks begin _Ÿ_†_Ÿ˜‡
2,136,More fireworks! #friendsgettogether #bonfirenight #gratitude @ Castellain Road https://t.co/gPRLFbm1IS
2,137,#Blackheath #fireworks #blackheathfireworks #blackheathvillage #London #londonfireworksâ€_ https://t.co/QymbbtjSUk
1,137,_Ÿ_†_Ÿ™ƒ_Ÿ’— @ Battersea Park Fireworks https://t.co/eRFiosQZZ1
-2,138,Bridge fireworks with arianna_melissa3 _Ÿ_†_Ÿ_† @ Bridge  Kent https://t.co/g9bFv7LLWa
2,139,Fireworks in Guildford last night were awesome. #fireworks #bonfirenight #nighttime #purple @ Stokeâ€_ https://t.co/TvGoWq6VmA
1,139,fireworks w/ @popsicle__queen_Ÿ’¥ @ Crystal Palace Park. https://t.co/gsGHT0c9GN
1,146,Fireworks (@ South Park in Oxford  Oxfordshire) https://t.co/yYf510bGyI
2,149,Fireworks! You're never too old to run out excitably after you hear the first bang... #fireworksâ€_ https://t.co/uRNTuj8DD7
2,150,#bangerz _Ÿ’¥ @ Battersea Park Fireworks https://t.co/TOYbLtEr4M
1,151,Short lived but nice. #fireworks on #blackheath @ Blackheath Common https://t.co/osgPjJPES1
2,152,#awesome #fireworks #sky #guyfawkes #alexandrapalace #instagood @ Fireworks Festival Alexandra Palace https://t.co/ceIRiiBPrX
1,152,Mad Fireworks | Victoria Park #fireworks2015 #guyfawkes #victoriapark #sunchasersldn #fireworkshowâ€_ https://t.co/npgzJBqgli
1,153,#2015 #fireworks #beautiful @ Farringtons School https://t.co/KG5mT5AtSx
0,153,Fireworks! (@ St John The Baptist Church in Loughton) https://t.co/cXPysJojAW
1,154,Amazing fireworks for 10 year celebrations chelseaual #fireworks @â€_ https://t.co/TnnAcRm6NB
1,154,âœ¨ @ Fireworks Festival Alexandra Palace https://t.co/2eY6Rci8IK
2,155,My first year at Blackheath fireworks _Ÿ˜ƒwhat a fantastic show #blackheathfireworks #fireworksâ€_ https://t.co/sMsNJxrD5u
-2,156,Baby  YOU are a firework... #fireworks #fireworkdisplay #victoriaparkâ€_ https://t.co/t05h3t3hYq
2,156,Fireworks season #_Ÿ‡¬_Ÿ‡§_ŸŒƒ_Ÿ_† This week it's all kicking off  fireworks going to be happening every nightâ€_ https://t.co/mmdCnujADC
1,157,#fireworks #bonfire _Ÿ”¥ @ Finsbury Park https://t.co/s6G9BwM5Jn
2,158,Fireworks #batterseapark #fireworks #bonfirenight2015 #london @ Battersea Park Fireworks https://t.co/6VoacakdNk
1,158,SGP fireworks seen through lovespecs! #secretgardenparty #sgp #fireworks #hearts #lovespecs #eyegasmâ€_ https://t.co/PiJ9b2hC07
1,159,#fireworks #London @ Parliament Hill  London https://t.co/tzLCDCk9Sg
1,159,_ŸŒ _Ÿ_‡_Ÿ_† thanks #allypally @ Fireworks Festival Alexandra Palace https://t.co/mQgcSC8OqZ
1,160,Fireworks! @ Barking Park https://t.co/7Dv4rjMZKx
1,161,#London #fireworks @ The Cutty Sark https://t.co/dXWpTb5PAG
2,161,Fireworks #fireworks #e20 #london #bonfirenight @ East Village London E20 https://t.co/YowcIPHZD0
1,162,#fireworks #VictoriaPark #London #november @ Victoria Park https://t.co/GoU12idR5f
1,162,#fireworks and #stars @ Blackheath Common https://t.co/JMgOzqbv8Y
1,162,Divalli salÅ«ts divally fireworks #fireworks #divalyfe #fun @ London Hounslow West https://t.co/EEbdfvn0Js
-1,162,Instead of fireworks... Imagine Dragons at The O2! @ The O2 https://t.co/U4v7yIlrUp
1,162,Watched the fireworks from my balcony _Ÿ_‰ @ Cannon Street https://t.co/oG0auoWskK
2,163,#Fireworks with the #boys! _Ÿ’¥  #Battersea #London #GuyFawkes #bonfirenight @ Battersea Park Fireworks https://t.co/HlsepmDHDh
1,164,#bonfirenight #guyfawkes #guyfawkesnight @ Fireworks Festival Alexandra Palace https://t.co/TtAJG9dxfH
1,164,Bandit watching the fireworks! @ London  United Kingdom https://t.co/gelAlR7BMQ
-1,164,Fireworks at this time!? Really?? _Ÿ˜ê
2,164,Fireworks last night_Ÿ‘»_Ÿ’¥ #fireworks #halloween @ Plumstead https://t.co/yiQLtIlqt1
-1,165,@RoxannaAzimy This is how I feel when some idiot thinks fireworks are OK at 2am https://t.co/5Pq6ZLVW1j
0,165,Sometimes it's great living in London. Great view of the fireworks. _Ÿ˜ç #london #paragon #fireworksâ€_ https://t.co/GoOVLrbY7o
2,167,#gunpowder #treason #fireworks and #mud @yourallypally #100happydays #100ourakhor @ Fireworksâ€_ https://t.co/FYh7VcWTRz
1,168,Just posted a video @ Fireworks Festival Alexandra Palace https://t.co/kKWeMD5sc7
2,169,@Ardensuk Fireworks
0,170,#bonfire #fire #fireworks @ Battersea Park https://t.co/zruSvko0cm
1,170,#fireworks @ Blackheath Common https://t.co/LIy99IIAfJ
2,170,_Ÿ’— @ Kempton Park Racecourse Fireworks Night https://t.co/32Vu1Y96ZK
1,171,Random fireworks no.2 â_¡ï¸è _Ÿ‡¬_Ÿ‡§_ŸŒƒ_ŸŒ‰_Ÿ_†_ŸŒ‰_ŸŒƒ_Ÿ‡¬_Ÿ‡§ Extreme close up of #TowerBridge as I saw some small #Fireworksâ€_ https://t.co/b2XLCZf6vO
0,172,#november #London #VictoriaPark #fireworks #Sky @ Victoria Park https://t.co/qrbImQr3lF
-1,172,Fireworks.... @ Crystal Palace Park. https://t.co/FQtVS4AAcz
-1,175,#fireworks #London #VictoriaPark #november #Sky @ Victoria Park for fireworks https://t.co/CHIIc8zNEr
1,176,_Ÿ_† @ LBL Blackheath Fireworks https://t.co/0NjuVmivKZ
2,176,Fireworks night 2015: 21 bonfire night displays in Essex https://t.co/oFm21lcT23 #Thurrock https://t.co/SjPOzqwShB
-1,176,Victoria park fireworks #bonfirenight #fireworks #london #victoriapark #towerhamlets @ Victoria Park https://t.co/OSpVeb0sCX
2,177,Awesome #fireworks #gold #glitter #ravenscourtpark @ Ravenscourt Park Fireworks https://t.co/rfeEwlBctH
-1,177,Great range of fountains for Diwali! #fireworks @ HaroldWoodfireworkshop https://t.co/nGFgX9TJ20
1,178,#bonfirenight #november5th #fireworks #willesden #funfair #girlsnightâ€_ https://t.co/WbuBeeerpF
0,178,#fireworks #friends #bestfriends #glow #festive @ Ravenscourt Park Fireworks https://t.co/Re0Wh52mJK
-2,178,#gelish #lecenteglitter #fireworks #lecentefireworks #glamgelishnailco #gelishmani #gelishnailsâ€_ https://t.co/WBCgi8Zc4t
2,178,Fireworks! _Ÿ’¥ @ Horsham Rugby Club https://t.co/HCSsF9BB6K
0,178,Soundtrack: Paradise - Coldplay @ Battersea Park Fireworks https://t.co/vbpIs9784W
2,178,The fireworks were so pretty last night _Ÿ’¥_Ÿ”¥_Ÿ˜» @ Alexandra Palace https://t.co/sbN3bnu7Vt
1,179,#fireworks and #stars @ Blackheath Common https://t.co/e2sCXsSdrJ
2,179,Captivated by the fireworks in Viccy Park on bonfire night. #fireworks @ Victoria Park https://t.co/LGIsggmus5
1,180,#fireworks _Ÿ_† @ Kingsmeadow https://t.co/IN6xRqlj4W
1,180,Finale Fireworks #UKWelcomesModi #ModiAtWembley #fireworks #london #wembleystadium #diwaliâ€_ https://t.co/hLjdizRSPc
2,182,Bonfire night _Ÿ___Ÿ_‰_Ÿ_‡_Ÿ_† @ Battersea Park Fireworks https://t.co/Cbo72xpKPj
1,182,Fireworks #fireworks #victoriapark @ Victoria Park https://t.co/gGFTmDEgaZ
2,184,Dramatic slow mo fireworks last night.. All set to classic horror themes! #fulham #fireworks @â€_ https://t.co/gvsudqTfgc
1,184,Fireworks #JesusGreen  #bonfirenight  #mariastroka @ Jesus Green https://t.co/kfV2ld2T2U
-1,184,My crew at the fireworks âœ¨ @ Battersea  Park https://t.co/ejfOwYT73S
-1,185,It was my first time seeing fireworks w/ goosebumps after Disneyland's. The fireworks weren't aboutâ€_ https://t.co/U30P5kdAwX
1,185,Watching the fireworks _Ÿ’« @ Oblix https://t.co/4prxm3whLE
2,186,#batterseaparkfireworks #bonfirenight @ Battersea Park Fireworks https://t.co/9I9rBjUh4B
1,186,#bonfirenight #guyfawkes #guyfawkesnight @ Fireworks Festival Alexandra Palace https://t.co/rYAspD4fLk
1,186,#fireworks @ Jersey Farm Woodland Park https://t.co/ZFegUMazAm
2,187,Fireworks last night_Ÿ‘»_Ÿ’¥ #fireworks #halloween @ Plumstead https://t.co/yiQLtIlqt1
-1,188,Fireworks from the comfort from your own home _Ÿ_‰_Ÿ_†_Ÿ’¥_Ÿ”¥ @ Kings Langleyâ€_ https://t.co/bpwVYpG8aI
2,189,Fireworks last night_Ÿ‘»_Ÿ’¥ #fireworks #halloween @ Plumstead https://t.co/yiQLtIlqt1
-2,190,Please no more.Change the record#AllyPally fireworks. https://t.co/pR37TLMf91
-1,191,Halloween fireworks to Cypress Hill @ Vauxhall Pleasure Park https://t.co/921U88JHAK
2,191,Obligatory #fireworks Instagram #bonfirenight #winchesterfireworks @theginaweena @ Winchester Fireworks https://t.co/GY1yJNnsvn
2,192,Bonfire night @ Battersea Park Fireworks https://t.co/Nt8LyhRqjz
-1,194,Fireworks. .When England celebrates #guyfawkesday #guyfawkesday2015 #guyfawkesâ€_ https://t.co/NgMGkZomjJ
1,196,#Fireworks @sunshinegardcen https://t.co/bLFrHtkPJb
1,196,Loved the fireworks this evening at #blackheath _Ÿ’œ #blackheathfireworks #london #londonlifeâ€_ https://t.co/dCeS9PR2bK
0,197,Fireworks @ Blackheath @ Blackheath Common https://t.co/gPK8rCD688
2,197,Fireworks night 2015 with my pink fairy _Ÿ_€ @ Lewes  East Sussex https://t.co/Q11KsDufTX
1,198,_Ÿ˜Å_Ÿ˜Å @ Fireworks Festival Alexandra Palace https://t.co/k4rpg069HP
1,198,Even better than fireworks! @ Greenwich  London  England  UK https://t.co/tezZCh1QUq
-1,199,Fireworks #fireworks #wtf #bang #diehard #brucewillis #action #londonfields #swegwayâ€_ https://t.co/pProdvDQtS
0,200,Bier hall with abit of rock then onto fireworks #allypally @ Fireworks Festival Alexandra Palace https://t.co/Uiom0DholU
2,200,It's 1.30am and people are setting off fireworks.... Just why.....
-1,203,Fireworks â_¡ï¸è_Ÿ”¥_Ÿ’¥_Ÿ_† @HarrietCurwood @madiecavillaxx @sarahcurwood curwooda @â€_ https://t.co/BXjzzilaJI
1,203,Leeds Castle after the fireworks _Ÿ_† #nofilter #leedscastle #fireworks #Kent #winter @ Leeds Castle â€_ https://t.co/0HEoBiwnCd
2,204,Fireworks fun _Ÿ_‰_Ÿ’¥âœ¨_Ÿ’« @ Henley On Thames Festival https://t.co/viEdx1Cq6U
1,204,St.Albans fireworks you get me every time #skyfullofstars #mulledwineâ€_ https://t.co/9BESbmxnKG
1,206,#Bestival #Summeroflove #fireworks _Ÿ’¥_Ÿ_†_Ÿ’¥  bestival @ Bestival https://t.co/MjkKNaEMlS
